Current learning rate: 0.01
Epoch: [0][  0/384]	Loss 2.1057 (2.1057)	Accuracy 12.500 (12.500)
Epoch: [0][ 10/384]	Loss 2.0364 (1.8345)	Accuracy 31.250 (30.966)
Epoch: [0][ 20/384]	Loss 1.7669 (1.7973)	Accuracy 31.250 (31.696)
Epoch: [0][ 30/384]	Loss 1.8043 (1.7549)	Accuracy 28.125 (34.375)
Epoch: [0][ 40/384]	Loss 1.5907 (1.7296)	Accuracy 37.500 (35.823)
Epoch: [0][ 50/384]	Loss 1.5402 (1.7119)	Accuracy 50.000 (36.581)
Epoch: [0][ 60/384]	Loss 1.8357 (1.7061)	Accuracy 25.000 (36.322)
Epoch: [0][ 70/384]	Loss 1.6904 (1.7002)	Accuracy 40.625 (36.400)
Epoch: [0][ 80/384]	Loss 1.5442 (1.6938)	Accuracy 43.750 (36.613)
Epoch: [0][ 90/384]	Loss 1.4976 (1.6819)	Accuracy 53.125 (37.569)
Epoch: [0][100/384]	Loss 1.6299 (1.6662)	Accuracy 37.500 (38.150)
Epoch: [0][110/384]	Loss 1.6313 (1.6600)	Accuracy 37.500 (38.401)
Epoch: [0][120/384]	Loss 1.7663 (1.6503)	Accuracy 28.125 (38.662)
Epoch: [0][130/384]	Loss 1.7065 (1.6432)	Accuracy 31.250 (38.907)
Epoch: [0][140/384]	Loss 1.4819 (1.6378)	Accuracy 50.000 (39.118)
Epoch: [0][150/384]	Loss 1.7095 (1.6353)	Accuracy 31.250 (39.363)
Epoch: [0][160/384]	Loss 1.6489 (1.6325)	Accuracy 37.500 (39.480)
Epoch: [0][170/384]	Loss 1.4719 (1.6304)	Accuracy 50.000 (39.711)
Epoch: [0][180/384]	Loss 1.5568 (1.6266)	Accuracy 40.625 (39.641)
Epoch: [0][190/384]	Loss 1.6415 (1.6256)	Accuracy 31.250 (39.709)
Epoch: [0][200/384]	Loss 1.4137 (1.6204)	Accuracy 50.000 (39.785)
Epoch: [0][210/384]	Loss 1.4150 (1.6194)	Accuracy 40.625 (39.618)
Epoch: [0][220/384]	Loss 1.5575 (1.6197)	Accuracy 46.875 (39.678)
Epoch: [0][230/384]	Loss 1.7028 (1.6193)	Accuracy 21.875 (39.516)
Epoch: [0][240/384]	Loss 1.5849 (1.6139)	Accuracy 43.750 (39.730)
Epoch: [0][250/384]	Loss 1.5313 (1.6141)	Accuracy 53.125 (39.729)
